254;Matthew Tkachuk;28;FLA;LW;;;;;;;;;;;;;;;;;;;
255;AndrÇ Burakovsky;30;CHI;LW;;;;;;;;;;;;;;;;;;;
256;Gage Goncalves;25;TBL;C;;;;;;;;;;;;;;;;;;;
257;Marat Khusnutdinov;23;BOS;C;;;;;;;;;;;;;;;;;;;
258;Alex Killorn;36;ANA;C;;;;;;;;;;;;;;;;;;;
259;Eetu Luostarinen;27;FLA;C;;;;;;;;;;;;;;;;;;;
260;Alexander Nikishin;24;CAR;D;;;;;;;;;;;;;;;;;;;
261;Cole Sillinger;22;CBJ;C;;;;;;;;;;;;;;;;;;;
262;Sam Steel;27;DAL;C;;;;;;;;;;;;;;;;;;;
263;Fabian Zetterlund;26;OTT;W;;;;;;;;;;;;;;;;;;;
264;Michael Bunting;30;2TM;LW;;;;;;;;;;;;;;;;;;;
264;Michael Bunting;30;NSH;LW;;;;;;;;;;;;;;;;;;;
264;Michael Bunting;30;DAL;LW;;;;;;;;;;;;;;;;;;;
265;Conor Garland;29;2TM;RW;;;;;;;;;;;;;;;;;;;
265;Conor Garland;29;VAN;RW;;;;;;;;;;;;;;;;;;;
265;Conor Garland;29;CBJ;RW;;;;;;;;;;;;;;;;;;;
266;Oliver Bjorkstrand;30;TBL;RW;;;;;;;;;;;;;;;;;;;
267;Jamie Drysdale;23;PHI;D;;;;;;;;;;;;;;;;;;;
268;A.J. Greer;29;FLA;LW;;;;;;;;;;;;;;;;;;;
269;Seth Jones;31;FLA;D;;;;;;;;;;;;;;;;;;;
270;Esa Lindell;31;DAL;D;;;;;;;;;;;;;;;;;;;
271;Brandon Montour;31;SEA;D;;;;;;;;;;;;;;;;;;;
272;Trevor Moore;30;LAK;LW;;;;;;;;;;;;;;;;;;;
273;Cole Perfetti;24;WPG;C;;;;;;;;;;;;;;;;;;;
274;Nicholas Robertson;24;TOR;LW;;;;;;;;;;;;;;;;;;;
275;Mackie Samoskevich;23;FLA;RW;;;;;;;;;;;;;;;;;;;
276;Damon Severson;31;CBJ;D;;;;;;;;;;;;;;;;;;;
277;Dmitri Voronkov;25;CBJ;LW;;;;;;;;;;;;;;;;;;;
278;Michael Carcone;29;UTA;F;;;;;;;;;;;;;;;;;;;
279;Thomas Chabot;29;OTT;D;;;;;;;;;;;;;;;;;;;
280;Arseny Gritsyuk;24;NJD;RW;;;;;;;;;;;;;;;;;;;
281;Emil Heineman;24;NYI;LW;;;;;;;;;;;;;;;;;;;
282;Evander Kane;34;VAN;LW;;;;;;;;;;;;;;;;;;;
283;Josh Manson;34;COL;D;;;;;;;;;;;;;;;;;;;
284;Jonathan Marchessault;35;NSH;C;;;;;;;;;;;;;;;;;;;
285;Denton Mateychuk;21;CBJ;D;;;;;;;;;;;;;;;;;;;
286;Ivan Provorov;29;CBJ;D;;;;;;;;;;;;;;;;;;;
287;Evan Rodrigues;32;FLA;C;;;;;;;;;;;;;;;;;;;
288;Jordan Spence;24;OTT;D;;;;;;;;;;;;;;;;;;;
289;James van Riemsdyk;36;DET;LW;;;;;;;;;;;;;;;;;;;
290;Sean Walker;31;CAR;D;;;;;;;;;;;;;;;;;;;
291;Victor Olofsson;30;2TM;RW;;;;;;;;;;;;;;;;;;;
291;Victor Olofsson;30;COL;RW;;;;;;;;;;;;;;;;;;;
291;Victor Olofsson;30;CGY;RW;;;;;;;;;;;;;;;;;;;
292;Zachary Bolduc;22;MTL;C;;;;;;;;;;;;;;;;;;;
293;Connor Dewar;26;PIT;C;;;;;;;;;;;;;;;;;;;
294;Ryan Donato;29;CHI;C;;;;;;;;;;;;;;;;;;;
295;Emmitt Finnie;20;DET;C;;;;;;;;;;;;;;;;;;;
296;Cam Fowler;34;STL;D;;;;;;;;;;;;;;;;;;;
297;Justin Hryckowian;24;DAL;F;;;;;;;;;;;;;;;;;;;
298;Calum Ritchie;21;NYI;C;;;;;;;;;;;;;;;;;;;
299;Matthew Wood;20;NSH;RW;;;;;;;;;;;;;;;;;;;
300;Parker Wotherspoon;28;PIT;D;;;;;;;;;;;;;;;;;;;
301;Artem Zub;30;OTT;D;;;;;;;;;;;;;;;;;;;
302;Bobby Brink;24;2TM;RW;;;;;;;;;;;;;;;;;;;
302;Bobby Brink;24;PHI;RW;;;;;;;;;;;;;;;;;;;
302;Bobby Brink;24;MIN;RW;;;;;;;;;;;;;;;;;;;
303;Easton Cowan;20;TOR;RW;;;;;;;;;;;;;;;;;;;
304;Charle-Edouard D'Astous;27;TBL;D;;;;;;;;;;;;;;;;;;;
305;Ryan Greene;22;CHI;C;;;;;;;;;;;;;;;;;;;
306;Alex Iafallo;32;WPG;C;;;;;;;;;;;;;;;;;;;
307;Jordan Martinook;33;CAR;LW;;;;;;;;;;;;;;;;;;;
308;J.J. Moser;25;TBL;D;;;;;;;;;;;;;;;;;;;
309;Drew O'Connor;27;VAN;F;;;;;;;;;;;;;;;;;;;
