Name;Pos;Age;Team
CURTIS DOUGLAS;C;26.3;Syracuse Crunch
DANIIL PROKHOROV;F;19.2;Bridgeport Islanders
DANNY KATIC;L;25.9;Belleville Senators
DARICK LOUIS-JEAN;D;25.6;Laval Rocket
DAVIS BURNSIDE;F;22.8;Manitoba Moose
DENI GOURE;C;23.0;Chicago Wolves
DENNIS CESANA;D;28.2;Charlotte Checkers
DILLAN BENTLEY;F;25.2;Laval Rocket
DRAKE BURGIN;D;25.7;Coachella Valley
DYLLAN GILL;D;22.1;Syracuse Crunch
ELIAS PETTERSSON;D;22.4;Abbotsford Canucks
EMIL HEMMING;F;20.0;Texas Stars
ERIK BARGHOLTZ;F;25.2;San Jose Barracuda
ETHAN CZATA;C;19.1;Syracuse Crunch
ETHAN LEYH;L;24.8;Chicago Wolves
FRANK DJURASEVIC;D;24.3;Toronto Marlies
GARRETT PYKE;D;26.9;Hershey Bears
GAVIN HAIN;C;23.2;Hartford Wolf Pack
GAVIN MCCARTHY;D;21.1;Rochester
HAYES HUNDLEY;D;21.3;Toronto Marlies
HENRY BRZUSTEWICZ;D;19.4;Ontario Reign
HERMAN TRAFF;R;20.5;San Diego Gulls
HUNTER JOHANNES;L;27.9;Lehigh Valley Phantoms
IAN MOORE;D;24.5;San Diego Gulls
ILYA SOLOVYOV;D;25.9;Colorado Eagles
JACK BAR;D;16.0;San Jose Barracuda
JACOB DION;D;24.7;Laval Rocket
JACOB HUDSON;F;25.6;Providence Bruins
JAKE MURRAY;D;24.2;Rockford IceHogs
JAMES STEFAN;R;22.8;Bakersfield Condors
JAYDEN LEE;D;25.5;Abbotsford Canucks
JETT JONES;F;23.8;Springfield Thunderbirds
JOHN GORMLEY;D;25.9;San Jose Barracuda
JOSH EERNISSE;R;24.5;Cleveland Monsters
KALE KESSY;L;33.6;Springfield Thunderbirds
KENT ANDERSON;D;22.7;Calgary Wranglers
KEVIN WALL;R;26.4;Springfield Thunderbirds
KIENAN DRAPER;R;24.4;Grand Rapids Griffins
KYLE WALKER;D;26.0;Calgary Wranglers
LACHLAN GETZ;D;24.4;Springfield
LANDON MCCALLUM;F;22.8;Coachella Valley Firebirds
LOKE JOHANSSON;D;20.5;Providence Bruins
LUCAS PETTERSSON;C;20.2;San Diego Gulls
LUKAS SILLINGER;L;25.8;Iowa Wild
LUKE MISTELBACHER;R;20.7;Belleville Senators
MACK OLIPHANT;D;23.5;San Jose
MARTIN POSPISIL;C;26.6;Calgary Wranglers
MASON MCCORMICK;C;25.1;Milwaukee
MATTHEW ANDONOVSKI;D;21.3;Belleville Senators
MATTHEW SOP;L;23.4;Iowa Wild
MAX ANDREEV;L;27.7;Providence Bruins
MAX GRAHAM;F;22.1;Wilkes-Barre/Scranton Penguins
MAXIM BARBASHEV;F;22.5;Tucson Roadrunners
NATHAN BROWN;C;20.3;Belleville Senators
NICK ANDREWS;D;25.0;Grand Rapids
OWEN LINDMARK;C;25.1;San Diego Gulls
QUINN BEAUCHESNE;D;19.3;Wilkes-Barre/Scranton Penguins
RIEGER LORENZ;L;22.2;Iowa Wild
RILEY MCCOURT;D;26.0;Belleville Senators
ROMAIN RODZINSKI;D;24.1;Hershey Bears
ROMAN KINAL;D;27.9;San Diego Gulls
RYAN BOTTRILL;F;22.4;Iowa Wild
RYAN MCCLEARY;D;22.8;Toronto Marlies
RYAN MCGUIRE;F;23.9;Iowa Wild
RYAN MILLER;F;19.2;Wilkes-Barre/Scranton Penguins
RYAN TATTLE;F;24.8;Providence Bruins
SAM SEDLEY;D;23.1;Belleville Senators
SAM STEVENS;C;26.2;Toronto Marlies
SAMUEL MAYER;D;23.2;Henderson Silver Knights
SCOTT REEDY;F;27.2;Bridgeport Islanders
SEAN LAROCHELLE;D;25.4;Manitoba
STEVIE LESKOVAR;D;21.8;Iowa Wild
SULLIVAN MACK;F;26.0;Hartford Wolf Pack
TAG BERTUZZI;F;25.4;Utica Comets
TARUN FIZER;R;25.3;Springfield Thunderbirds
TERRELL GOLDSMITH;D;21.1;Tucson Roadrunners
THOMAS MESSINEO;D;24.2;San Jose Barracuda
TOMMY BUDNICK;D;22.4;Wilkes-Barre/Scranton Penguins
TRISTAN SARSLAND;D;22.3;San Jose Barracuda
TROY MURRAY;F;28.8;Springfield Thunderbirds
TYLER WEISS;L;26.5;Chicago Wolves
VALTTERI PIIRONEN;D;24.8;Coachella Valley Firebirds
VINCENT SEVIGNY;D;25.2;Lehigh Valley Phantoms
WILL MACKINNON;D;26.2;Cleveland Monsters
WILL RIEDELL;D;29.7;Providence Bruins
XAVIER BERNARD;D;26.5;Calgary Wranglers
ZACH BERZOLLA;D;28.1;Springfield Thunderbirds
ZACH OKABE;C;25.5;Abbotsford Canucks
MICHAEL DIPIETRO;G;27.1;Providence Bruins
REMI POIRIER;G;24.7;Texas Stars
SEBASTIAN COSSA;G;23.6;Grand Rapids Griffins
COOPER BLACK;G;25.0;Charlotte Checkers
SERGEI MURASHOV;G;22.2;Wilkes-Barre/Scranton Penguins
BRANDON HALVERSON;G;30.3;Syracuse Crunch
CARL LINDBOM;G;23.1;Henderson Silver Knights
IVAN FEDOTOV;G;29.6;Cleveland Monsters
DEVON LEVI;G;24.5;Rochester Americans
ARTUR AKHTYAMOV;G;24.7;Toronto Marlies
MATTHEW MURRAY;G;28.4;Milwaukee Admirals
KAAPO KAHKONEN;G;29.9;Laval Rocket
THOMAS MILIC;G;23.2;Manitoba Moose
PHEONIX COPLEY;G;34.4;Ontario Reign
CAYDEN PRIMEAU;G;26.9;Chicago Wolves
MATT TOMKINS;G;32.0;Bakersfield Condors
CALLE CLANG;G;24.1;San Diego Gulls
NIKKE KOKKO;G;22.3;Coachella Valley Firebirds
JACOB FOWLER;G;21.6;Laval Rocket
ERIK PORTILLO;G;25.8;Ontario Reign
CLAY STEVENSON;G;27.3;Hershey Bears
VICTOR OSTMAN;G;25.7;Coachella Valley Firebirds
NICO DAWS;G;25.5;Utica Comets
HENRIK TIKKANEN;G;25.8;Bridgeport Islanders
MICHAL POSTAVA;G;24.3;Grand Rapids Griffins
TRENT MINER;G;25.4;Colorado Eagles
VADIM ZHERENKO;G;25.3;Springfield Thunderbirds
MATTHEW VILLALTA;G;27.1;Tucson Roadrunners
DYLAN GARAND;G;24.1;Hartford Wolf Pack
JOEL BLOMQVIST;G;24.5;Wilkes-Barre/Scranton Penguins
ISAK POSCH;G;24.4;Colorado Eagles
JAXSON STAUBER;G;27.2;Tucson Roadrunners
ALEKSEI KOLOSOV;G;24.5;Lehigh Valley Phantoms
GABRIEL CARRIERE;G;25.1;San Jose Barracuda
LAURENT BROSSOIT;G;33.3;San Jose Barracuda
ZACH SAWCHENKO;G;28.5;Cleveland Monsters
CARSON BJARNASON;G;21.0;Lehigh Valley Phantoms
SIMON ZAJICEK;G;25.0;Providence Bruins
RYAN FANTI;G;26.7;Syracuse Crunch
CAL PETERSEN;G;31.7;Iowa Wild
DREW COMMESSO;G;24.0;Rockford IceHogs
JAKUB MALEK;G;24.2;Utica Comets
DOMENIC DIVINCENTIIS;G;22.3;Manitoba Moose
JAKUB SKAREK;G;26.6;San Jose Barracuda
JIRI PATERA;G;27.3;Abbotsford Canucks
MARCUS HOGBERG;G;31.6;Bridgeport Islanders
AMIR MIFTAKHOV;G;26.2;Chicago Wolves
ARNO TIEFENSEE;G;24.2;Texas Stars
DENNIS HILDEBY;G;24.9;Toronto Marlies
MITCH GIBSON;G;27.0;Hershey Bears
GEORGII ROMANOV;G;26.5;Springfield Thunderbirds
LOUIS DOMINGUE;G;34.3;Charlotte Checkers
IVAN PROSVETOV;G;27.3;Calgary Wranglers
CONNOR UNGAR;G;24.5;Bakersfield Condors
KIRILL GERASIMYUK;G;22.9;Charlotte Checkers
KYLE KEYSER;G;27.3;Colorado Eagles
MAGNUS CHRONA;G;25.8;Milwaukee Admirals
NIKITA TOLOPILO;G;26.2;Abbotsford Canucks
LEEVI MERILAINEN;G;23.9;Belleville Senators
VILLE HUSSO;G;31.4;San Diego Gulls
JESPER VIKMAN;G;24.3;Henderson Silver Knights
SAMUEL HLAVAJ;G;25.1;Iowa Wild
CARTER GYLANDER;G;25.1;Grand Rapids Griffins
HUNTER SHEPARD;G;30.6;Laval Rocket
CALLUM TUNG;G;22.6;Hartford Wolf Pack
MADS S??GAARD;G;25.5;Belleville Senators
ARSENII SERGEEV;G;23.5;Calgary Wranglers
CAMERON WHITEHEAD;G;23.0;Henderson Silver Knights
LUKE CAVALLIN;G;25.2;Providence Bruins
OWEN SAY;G;25.1;Calgary Wranglers
ISAIAH SAVILLE;G;25.8;Ontario Reign
WILL CRANLEY;G;24.3;Springfield Thunderbirds
JACKSON PARSONS;G;21.6;Belleville Senators
TY YOUNG;G;21.8;Abbotsford Canucks
STANISLAV BEREZHNOY;G;23.1;Rockford IceHogs
GARIN BJORKLUND;G;24.1;Hershey Bears
TOMAS SUCHANEK;G;23.2;San Diego Gulls
JACK LAFONTAINE;G;28.5;Coachella Valley Firebirds
CALVIN PICKARD;G;34.2;Bakersfield Condors
RILEY MERCER;G;22.2;Iowa Wild
SCOTT RATZLAFF;G;21.3;Rochester Americans
VYACHESLAV PEKSA;G;23.8;Toronto Marlies
OLIVIER RODRIGUE;G;26.0;Rockford IceHogs
CONNOR INGRAM;G;29.3;Bakersfield Condors
SPENCER MARTIN;G;31.1;Hartford Wolf Pack
MAXIM PAVLENKO;G;24.1;Wilkes-Barre/Scranton Penguins
JON GILLIES;G;32.4;Syracuse Crunch
OWEN FLORES;G;22.1;Rockford IceHogs
WILLIAM ROUSSEAU;G;23.5;Iowa Wild
TOPIAS LEINONEN;G;22.4;Rochester Americans
FILIP LARSSON;G;27.9;Wilkes-Barre/Scranton Penguins
MICHAEL HRABAL;G;21.4;Tucson Roadrunners
ISAAC POULTER;G;24.8;Manitoba Moose
CONNOR MURPHY;G;27.8;Calgary Wranglers
AKU KOSKENVUO;G;23.3;Abbotsford Canucks
HAMPTON SLUKYNSKY;G;21.0;Ontario Reign
KEVIN MANDOLESE;G;25.9;Syracuse Crunch
PARKER GAHAGEN;G;33.1;Bridgeport Islanders
YANIV PERETS;G;26.3;Lehigh Valley Phantoms
SEMYON VARLAMOV;G;38.2;Bridgeport Islanders
KEVIN REIDLER;G;21.8;Belleville Senators
DAMIAN CLARA;G;21.5;San Diego Gulls
NIKITA QUAPP;G;23.4;Chicago Wolves
CARTER HART;G;27.9;Henderson Silver Knights
VYACHESLAV BUTEYETS;G;24.1;San Diego Gulls
RUSLAN KHAZHEYEV;G;21.6;Chicago Wolves
PYOTR KOCHETKOV;G;27.0;Chicago Wolves
MATT DAVIS;G;25.0;
JEREMY SMITH;G;37.2;Bridgeport Islanders
DUSTIN TOKARSKI;G;36.8;Grand Rapids Griffins
ETHAN HAIDER;G;25.2;Milwaukee Admirals
LOGAN TERNESS;G;23.8;Coachella Valley Firebirds
KEN APPLEBY;G;31.2;Toronto Marlies
UKKO-PEKKA LUUKKONEN;G;27.3;Rochester Americans
JOSEPH WOLL;G;28.0;Toronto Marlies
T.J. SEMPTIMPHELTER;G;24.1;Milwaukee Admirals
HUNTER JONES;G;25.8;Laval Rocket
JONATHAN LEMIEUX;G;25.1;Abbotsford Canucks
MATTIAS SHOLL;G;25.7;Ontario Reign
JAMES REIMER;G;38.3;Belleville Senators
TREY AUGUSTINE;G;21.3;Grand Rapids Griffins
MITCHELL WEEKS;G;25.0;Rockford IceHogs
CHASE WUTZKE;G;19.9;Iowa Wild
JEREMY BRODEUR;G;29.7;Utica Comets
JOSH KOTAI;G;23.3;Bridgeport Islanders
TALYN BOYKO;G;23.7;Hartford Wolf Pack
SAMUEL MONTEMBEAULT;G;29.7;Laval Rocket
ADAM GAJAN;G;22.2;Rockford IceHogs
C.J. KIER;G;22.3;Abbotsford Canucks
KAIDAN MBEREKO;G;22.9;Belleville Senators
CAMERON ROWE;G;25.1;Rochester Americans
HARRISON MENEGHIN;G;21.8;Syracuse Crunch
BEN KRAWS;G;25.9;Texas Stars
ALEXANDAR GEORGIEV;G;30.4;Rochester Americans
NOLAN LALONDE;G;22.4;Cleveland Monsters
