Name;Pos;Age;Team
PHILIPPE DAOUST;C;24.6;Belleville Senators
REM PITLICK;L;29.2;Rockford IceHogs
T.J. TYNAN;F;34.3;Colorado Eagles
BEN HEMMERLING;F;22.2;Henderson Silver Knights
KAI UCHACZ;F;23.0;Henderson Silver Knights
MATTHEW PECA;C;33.2;Syracuse Crunch
MIKAEL PYYHTIA;L;24.5;Cleveland Monsters
RYAN CARPENTER;C;35.4;San Diego Gulls
SAM POULIN;C;25.3;Bakersfield Condors
TREVOR CONNELLY;F;20.3;Henderson Silver Knights
ANDRE LEE;F;25.9;Ontario Reign
BEN STEEVES;F;24.1;Charlotte Checkers
JEREMY DAVIES;D;29.6;Henderson Silver Knights
JIMMY HUNTINGTON;F;27.6;San Jose Barracuda
LANE PEDERSON;C;28.9;Lehigh Valley Phantoms
RYAN SUZUKI;C;25.1;Chicago Wolves
TRISTEN NIELSEN;F;26.3;Colorado Eagles
COLIN WHITE;C;29.4;San Jose Barracuda
LUKAS CORMIER;D;24.3;Henderson Silver Knights
ROBY JARVENTIE;R;23.9;Bakersfield Condors
RYAN UFKO;D;23.1;Milwaukee Admirals
SCOTT PERUNOVICH;D;27.9;Tucson Roadrunners
JORDAN OESTERLE;D;34.0;Milwaukee Admirals
LIAM FOUDY;F;26.4;Bridgeport Islanders
TYSON JUGNAUTH;D;22.2;Coachella Valley Firebirds
WILLIAM STROMGREN;L;23.1;Calgary Wranglers
ANTHONY RICHARD;L;29.5;Lehigh Valley Phantoms
BOGDAN TRINEYEV;R;24.3;Hershey Bears
JACK DEVINE;F;22.7;Charlotte Checkers
JOSHUA ROY;L;22.9;Laval Rocket
LUCA PINELLI;L;21.2;Cleveland Monsters
SHELDON DRIES;C;32.2;Grand Rapids Griffins
AIDAN MCDONOUGH;L;26.6;Wilkes-Barre/Scranton Penguins
ALEKSANTERI KASKIMAKI;F;22.4;Springfield Thunderbirds
BRETT LEASON;R;27.2;Hershey Bears
COLE O'HARA;R;24.0;Milwaukee Admirals
MICHAEL BRANDSEGG-NYGARD;R;20.7;Grand Rapids Griffins
QUENTIN MUSTY;F;21.0;San Jose Barracuda
TRISTAN BROZ;F;23.7;Wilkes-Barre/Scranton Penguins
DOMINIC TONINATO;C;32.3;Rockford IceHogs
DYLAN COGHLAN;D;28.4;Henderson Silver Knights
GRAEME CLARKE;R;25.2;Belleville Senators
ISAK ROSEN;R;23.3;Rochester Americans
LUCA CAGNONI;D;21.5;San Jose Barracuda
MASON SHAW;R;27.7;Manitoba Moose
MATTHEW POITRAS;C;22.3;Providence Bruins
OLIVER WAHLSTROM;R;26.0;San Jose Barracuda
AMADEUS LOMBARDI;C;23.1;Grand Rapids Griffins
BEN BERARD;F;27.4;Abbotsford Canucks
EDUARDS TRALMAKS;L;29.4;Grand Rapids Griffins
FABIAN LYSELL;R;23.4;Providence Bruins
GERRY MAYHEW;C;33.5;Iowa Wild
VINNI LETTIERI;C;31.4;Toronto Marlies
JACK BECKER;F;29.0;Texas Stars
JAMES HAMBLIN;C;27.2;Bakersfield Condors
JUSTIN BAILEY;R;31.0;San Diego Gulls
NILS AMAN;C;26.4;Abbotsford Canucks
TRISTAN LUNEAU;D;22.5;San Diego Gulls
VILLE KOIVUNEN;L;23.0;Wilkes-Barre/Scranton Penguins
ATRO LEPPANEN;D;27.5;Bakersfield Condors
CARTER YAKEMCHUK;D;20.7;Belleville Senators
EGOR AFANASYEV;L;25.4;San Jose Barracuda
KENNY CONNORS;F;23.3;Ontario Reign
MATTHEW HIGHMORE;C;30.3;Bridgeport Islanders
PHIL TOMASINO;R;24.9;Lehigh Valley Phantoms
RAFAEL HARVEY-PINARD;L;27.5;Wilkes-Barre/Scranton Penguins
AVERY HAYES;R;23.7;Wilkes-Barre/Scranton Penguins
DANIIL BUT;F;21.4;Tucson Roadrunners
VALTTERI PUUSTINEN;R;27.1;Colorado Eagles
XAVIER PARENT;F;25.3;Utica Comets
ANDREW AGOZZINO;C;35.5;Tucson Roadrunners
ANTON WAHLBERG;L;21.0;Rochester Americans
ARTEM SHLAINE;F;24.3;Texas Stars
CALLE ROSEN;D;32.4;Springfield Thunderbirds
